Date Recorded,List Year,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Longitude,Latitude
2020-12-21,2020,Mansfield,23 PHILIP DR,194900.0,307000.0,0.6348,Residential,Single Family,,
2021-03-15,2020,Meriden,302 EAST MAIN ST,111090.0,150000.0,0.7406,Commercial,,,
2021-05-17,2020,Meriden,69 LINSLEY AVE,165830.0,325000.0,0.5102,Apartments,,,
2021-07-01,2020,Meriden,52 ROYAL OAK CIR,130340.0,305000.0,0.4273,Residential,Single Family,,
2021-07-16,2020,Meriden,209 BLACKSTONE VLG,37240.0,114900.0,0.3241,Residential,Condo,,
2021-08-16,2020,Meriden,30 LA MIRAGE,74060.0,145000.0,0.5107,Residential,Condo,,
2021-08-26,2020,Meriden,6006 MEETINGHOUSE VLG,59430.0,135000.0,0.4402,Residential,Condo,,
2021-06-09,2020,Middlebury,289 BURR HALL RD,1144200.0,1676250.0,0.682595078,Residential,Single Family,,
2021-04-05,2020,Middletown,87 WESTWOOD LA,285040.0,400000.0,0.7126,Residential,Single Family,,
2021-07-29,2020,Middletown,PHEDON PKWY,49220.0,100000.0,0.4922,Vacant Land,,,
2020-11-02,2020,Middletown,1692 BARTHOLOMEW RD,170650.0,325000.0,0.525,Residential,Single Family,,
2020-12-01,2020,Middletown,23 WILLOW AVE,106640.0,162900.0,0.6546,Residential,Single Family,,
2021-09-13,2020,Milford,104 WATERBURY AVE,206390.0,500000.0,0.4127,Vacant Land,,,
2020-12-07,2020,Milford,51 CARRIAGE DR,87590.0,170000.0,0.5152,Residential,Condo,,
2021-06-22,2020,Milford,95 FOREST RD,165000.0,300000.0,0.55,Residential,Condo,,
2021-02-19,2020,Monroe,22 FIELD ROCK RD,325100.0,500000.0,0.6502,Residential,Single Family,,
2020-10-01,2020,Monroe,169 MONROE TPKE,667500.0,1093500.0,0.6104,Commercial,,,
2021-04-12,2020,Montville,1691 ROUTE 32 UNIT E6,84600.0,130000.0,0.6507,Residential,Condo,,
2020-10-14,2020,Montville,45 OAK HILL RD,129810.0,240000.0,0.5408,Residential,Single Family,,
2021-03-26,2020,Naugatuck,191 GORMAN ST,135520.0,255000.0,0.5314,Residential,Single Family,,
2021-05-18,2020,Naugatuck,33 FAIRCHILD ST,98900.0,184500.0,0.536,Residential,Single Family,,
2021-06-21,2020,Naugatuck,255 PARK AVE,126630.0,301000.0,0.420697674,Residential,Single Family,,
2021-01-04,2020,New Britain,13 LASALLE ST,63630.0,65000.0,0.9789,Residential,Single Family,,
2021-03-31,2020,New Britain,190 WYNOLA AVE,117670.0,270000.0,0.4358,Residential,Two Family,,
2021-07-12,2020,New Britain,36-E NORTH MOUNTAIN RD,63560.0,135000.0,0.4708,Residential,Condo,,
2021-07-20,2020,New Britain,203 FAIRWAY DR,104370.0,160000.0,0.6523,Residential,Single Family,,
2020-10-15,2020,New Britain,320 LEWIS RD,127610.0,182500.0,0.6992,Residential,Condo,,
2020-10-16,2020,New Britain,270 HIGH ST,174580.0,305000.0,0.5723,Apartments,,,
2021-04-07,2020,New Canaan,43 JENNIFER LA,978670.0,1700000.0,0.5756,Residential,Single Family,,
2020-12-30,2020,New Canaan,134 MARSHALL RIDGE RD,705110.0,1410000.0,0.5,Residential,Single Family,,
2021-04-15,2020,New Fairfield,10 HILLTOP,187500.0,395000.0,0.4746,Residential,Single Family,,
2021-01-14,2020,New Haven,50 ANITA ST,156170.0,250000.0,0.6246,Residential,Single Family,,
2021-03-23,2020,New Haven,WEYBOSSET ST,27300.0,50000.0,0.546,Vacant Land,,,
2021-04-19,2020,New Haven,26 LYON ST,185360.0,360000.0,0.5148,Residential,Three Family,,
2021-06-07,2020,New Haven,97 HARBOUR CLOSE,116410.0,230000.0,0.5061,Residential,Condo,,
2021-06-22,2020,New Haven,38 SPERRY ST,109900.0,160000.0,0.6868,Commercial,,,
2020-12-07,2020,New Haven,225 QUINNIPIAC AV,103320.0,280000.0,0.369,Residential,Two Family,,
2020-12-11,2020,New Haven,140 EVERIT ST,480620.0,685000.0,0.7016,Residential,Single Family,,
2021-09-20,2020,New London,184 PEQUOT AVE UNIT 103,103250.0,159900.0,0.6457,Residential,Condo,,
2020-12-03,2020,New London,958-960 BANK ST,1385860.0,4800000.0,0.2887,Commercial,,,
2021-07-30,2020,Newtown,9 ALPINE CIRCLE,140570.0,300000.0,0.4685,Residential,Single Family,,
2021-08-09,2020,Newtown,113 MT. PLEASANT ROAD,9210.0,21000.0,0.4385,Vacant Land,,,
2021-08-30,2020,Newtown,157 HANOVER ROAD,325640.0,508000.0,0.641,Residential,Single Family,,
2020-10-27,2020,Newtown,17 NARRAGANSSET TRAIL,249860.0,463000.0,0.5396,Residential,Single Family,,
2020-11-18,2020,Newtown,1 WATKINS DRIVE,232200.0,350000.0,0.6634,Residential,Condo,,
2021-01-14,2020,North Canaan,COLLEGE HILL RD,37590.0,38000.0,0.9892,Vacant Land,,,
2021-02-02,2020,North Haven,20 CLOUDLAND RD,178070.0,245000.0,0.7268,Residential,Single Family,,
2020-12-01,2020,North Haven,26 NETTLETON AVE,135740.0,203000.0,0.6686,Residential,Single Family,,
2021-03-17,2020,Norwalk,169 EAST AVE,349212.0,445000.0,0.7847,Commercial,,,
2021-04-21,2020,Norwalk,2 TERRY LN UNIT 2,168670.0,295000.0,0.5717,Residential,Condo,,
2021-05-04,2020,Norwalk,238 ROWAYTON AVE,461440.0,805000.0,0.5732,Residential,Single Family,,
2021-06-08,2020,Norwalk,163 MAIN ST,839080.0,1225000.0,0.6849,Commercial,,,
2021-06-18,2020,Norwalk,2 CORNWALL RD,302270.0,587500.0,0.514502128,Residential,Single Family,,
2021-09-01,2020,Norwalk,2 SOUTH MAIN ST UNIT W201,147600.0,235000.0,0.628,Residential,Condo,,
2020-11-04,2020,Norwalk,161 SILVERMINE AVE,384990.0,600000.0,0.6416,Residential,Single Family,,
2020-12-09,2020,Norwalk,62 GLENROCK,217540.0,330000.0,0.6592,Residential,Condo,,
2020-12-11,2020,Norwalk,11 BEDFORD AVE UNIT J1,109310.0,178000.0,0.6141,Residential,Condo,,
2021-01-20,2020,Norwich,303 MOHEGAN PARK RD #133,1100.0,2110040.0,0.000521317,Vacant Land,,,
2021-01-20,2020,Norwich,303 MOHEGAN PARK RD #42,1100.0,2110040.0,0.0005,Vacant Land,,,
2021-03-02,2020,Norwich,38 HOOPER ST #6,84400.0,136500.0,0.6183,Residential,Condo,,
2021-04-16,2020,Norwich,45 WEBER FARM RD,203700.0,335000.0,0.608,Residential,Single Family,,
2021-06-15,2020,Norwich,146 BROMLEY ST,21000.0,25000.0,0.84,Vacant Land,,,
2020-10-29,2020,Norwich,21 HUNTINGTON PL,133900.0,215000.0,0.6227,Residential,Two Family,,
2021-04-01,2020,Old Lyme,146-1 BOSTON POST RD,124700.0,220000.0,0.5668,Residential,Single Family,,
2021-08-30,2020,Old Lyme,34-5 POND RD,416000.0,660000.0,0.6303,Residential,Condo,,
2021-02-23,2020,Old Saybrook,514 MAIN ST,742600.0,1275000.0,0.5824,Residential,Single Family,,
2021-05-28,2020,Old Saybrook,175 FERRY RD UNIT 9,246500.0,490000.0,0.503,Residential,Condo,,
2020-12-23,2020,Old Saybrook,380 MAIN ST,323500.0,825000.0,0.3921,Residential,Single Family,,
2021-06-14,2020,Orange,605 DOGWOOD RD,283200.0,500000.0,0.5664,Residential,Single Family,,
2021-07-13,2020,Orange,436 WILDWOOD DR,240300.0,385000.0,0.6241,Residential,Single Family,,
2021-07-13,2020,Plainfield,0 HIGHLAND ST,10390.0,17000.0,0.611176471,Vacant Land,,,
2020-12-03,2020,Plainfield,219 SPAULDING RD,153660.0,290000.0,0.529862069,Residential,Single Family,,
2021-08-16,2020,Plainville,492 EAST ST B-36,41090.0,89900.0,0.457,Residential,Condo,,
2020-12-23,2020,Plainville,111 WEST MAIN ST,53970.0,75000.0,0.7196,Commercial,,,
2021-01-28,2020,Plymouth,325 MAIN ST,596470.0,833111.0,0.7159,Commercial,,,
2020-10-16,2020,Portland,9 CULVER LN,56420.0,56400.0,1.0003,Vacant Land,,,
2021-02-19,2020,Preston,98 COOKTOWN RD,48700.0,65000.0,0.7492,Vacant Land,,,
2021-07-16,2020,Putnam,110 POMFRET ST,95100.0,175000.0,0.5434,Residential,Three Family,,
2021-01-22,2020,Rocky Hill,39 STEVENS PLACE,108360.0,178000.0,0.6087,Residential,Condo,,
2021-06-10,2020,Rocky Hill,402 THE MEWS,120890.0,234900.0,0.5146,Residential,Condo,,
2021-07-01,2020,Rocky Hill,302 BRIARWOOD COURT,110810.0,185000.0,0.5989,Residential,Condo,,
2020-10-22,2020,Rocky Hill,59 HIGHCREST DRIVE,128870.0,193000.0,0.6677,Residential,Condo,,
2020-10-21,2020,Salem,109 MUSIC VALE RD,150600.0,230000.0,0.6547,Residential,Single Family,-72.26393,41.48326
2021-02-17,2020,Sharon,LAMBERT RD,311000.0,415000.0,0.7493,Vacant Land,,,
2021-09-20,2020,Shelton,176-178 HOWE AVE,156380.0,400000.0,0.3909,Residential,Two Family,,
2020-10-29,2020,Shelton,27 ROULEAU LA,254560.0,500500.0,0.5086,Residential,Single Family,,
2021-02-25,2020,Shelton,197 BEARDSLEY RD,132440.0,875000.0,0.1513,Vacant Land,,,
2021-04-07,2020,Shelton,63 GREYSTONE ON THE LAKE,242410.0,399901.0,0.6061,Residential,Condo,,
2020-11-18,2020,Simsbury,7 TIMBER RIDGE DRIVE,228250.0,350000.0,0.6521,Residential,Single Family,,
2020-10-05,2020,Southbury,996 A HERITAGE VILLAGE,94840.0,175000.0,0.5419,Residential,Condo,,
2021-03-05,2020,South Windsor,70 RONDA DR,136600.0,310000.0,0.4406,Residential,Single Family,,
2021-05-10,2020,South Windsor,69 OAKLAND RD,294800.0,725000.0,0.4066,Commercial,,,
2021-06-09,2020,South Windsor,107 TROY RD,162400.0,325000.0,0.4996,Residential,Single Family,,
2021-06-10,2020,Stamford,49 GLENBROOK ROAD #302,151670.0,275000.0,0.5515,Residential,Condo,,
2020-12-04,2020,Stamford,165 SEASIDE AVENUE #2,309550.0,405000.0,0.7643,Residential,Condo,,
2021-08-06,2020,Stamford,3 DEAN STREET #B-2,90520.0,178000.0,0.5085,Residential,Condo,,
2021-01-11,2020,Stonington,26 GARDEN ST,120500.0,224000.0,0.5379,Residential,Single Family,,
2021-03-02,2020,Stonington,HEWITT RD,68900.0,148600.0,0.4636,Vacant Land,,,
2021-04-01,2020,Stratford,30 BAXTER STREET,189840.0,339000.0,0.56,Residential,Single Family,,
2021-06-15,2020,Stratford,53 ASHWOOD TERRACE,295540.0,575000.0,0.5139,Residential,Single Family,,
2021-09-22,2020,Stratford,50 MEADOWLARK LANE,180670.0,385000.0,0.4692,Residential,Single Family,,
2021-03-15,2020,Suffield,11 HIDDEN WAY,60060.0,125000.0,0.4804,Vacant Land,,,
2021-03-18,2020,Suffield,550 N MAIN ST,192640.0,350000.0,0.5504,Residential,Single Family,,
2021-06-15,2020,Suffield,37 GOOSEBERRY DR,245350.0,399718.0,0.6138,Residential,Condo,,
2020-10-14,2020,Suffield,1190 NEWGATE RD,188930.0,340000.0,0.5556,Residential,Single Family,,
2021-08-02,2020,Thomaston,4 ELLEN LN,202090.0,390000.0,0.5181,Residential,Single Family,,
2020-12-14,2020,Thomaston,3 BRADLEY WAY,133210.0,289900.0,0.4595,Residential,Condo,,
2020-10-29,2020,Thompson,84 MAIN ST,112900.0,180000.0,0.6272,Commercial,,,
2021-05-10,2020,Tolland,33 FOREST LANE,85400.0,120000.0,0.7116,Vacant Land,,,
2020-12-20,2020,Tolland,H2 TOLLAND MEADOWS,55200.0,90000.0,0.6133,Residential,Condo,,
2020-10-22,2020,Torrington,17 CANTERBURY CT,109360.0,194000.0,0.5637,Residential,Single Family,,
2020-12-03,2020,Torrington,343 AETNA AVE,103780.0,125000.0,0.8302,Residential,Single Family,,
2020-12-21,2020,Torrington,54 IOWA ST,86880.0,90000.0,0.9653,Residential,Two Family,,
2021-02-22,2020,Trumbull,8 SPINNING WHEEL RD,323890.0,585000.0,0.5536,Residential,Single Family,,
2021-05-04,2020,Trumbull,36 FARMSTEAD LN,414960.0,720000.0,0.5763,Residential,Single Family,,
2021-08-09,2020,Trumbull,191 TELLER RD,247520.0,485000.0,0.5103,Residential,Single Family,,
2021-09-02,2020,Trumbull,46 REGENCY CIR,301980.0,550000.0,0.549,Residential,Condo,,
2020-10-26,2020,Trumbull,103 CIDER MILL LANE,215270.0,425000.0,0.5065,Residential,Condo,,
2021-05-04,2020,Vernon,100 HILLSIDE AVENUE,122330.0,220000.0,0.556,Residential,Single Family,,
2021-06-16,2020,Vernon,206 TALCOTTVILLE RD,527100.0,1370000.0,0.3847,Commercial,,,
2021-07-19,2020,Vernon,70-343 OLD TOWN RD,100780.0,170000.0,0.5928,Residential,Condo,,
2021-09-08,2020,Vernon,21 EAST ST,119440.0,192150.0,0.6215,Residential,Single Family,,
2020-12-01,2020,Vernon,53 HANY LN,156130.0,230000.0,0.6788,Residential,Single Family,,
2020-11-02,2020,Washington,66 CALHOUN ST,593410.0,1275000.0,0.4654,Residential,Single Family,,
2021-01-06,2020,Waterbury,985 BANK ST,355910.0,919975.0,0.3868,Apartments,,,
2021-03-17,2020,Waterbury,20 MORTON RD,82370.0,145000.0,0.568,Residential,Single Family,,
2021-04-20,2020,Waterbury,76 OAK ST,33280.0,160000.0,0.208,Residential,Three Family,,
2021-05-10,2020,Waterbury,35 EDSON AVE,101000.0,298000.0,0.3389,Residential,Three Family,,
2021-09-01,2020,Waterbury,142 FAIRMOUNT ST,69180.0,110000.0,0.6289,Residential,Single Family,,
2021-09-21,2020,Waterbury,199 PEARL LAKE RD,66850.0,200000.0,0.3342,Residential,Single Family,,
